movieId,title,genres_clean,overview_clean
11,Star Wars,Adventure Action Science Fiction,princess leia captured held hostage evil imperial forces effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo cpo rescue beautiful princess restore peace justice empire
3036,Mary Shelley's Frankenstein,Drama Horror Science Fiction Romance,based mary shelleys novel frankenstein tells story victor frankenstein promising young doctor devastated death mother during childbirth becomes obsessed bringing dead back life experiments lead creation monster frankenstein put together remains corpses long frankenstein regrets actions
1945,Nell,Drama Thriller,remote woodland cabin small town doctor discovers nell beautiful young hermit woman many secrets
241,Natural Born Killers,Crime Thriller Drama,two victims traumatized childhoods become lovers psychopathic serial murderers irresponsibly glorified mass media
527,Once Were Warriors,Drama,drama maori family lving auckland new zealand lee tamahori tells story beth hekes strong keep family together during times unemployment abuse violent alcoholic husband
101,Leon: The Professional,Thriller Crime Drama,leon top hit man new york earned rep effective cleaner nextdoor neighbors wiped out loosecannon dea agent becomes unwilling custodian yearold mathilda long mathildas thoughts turn revenge considers following leons footsteps
680,Pulp Fiction,Thriller Crime,burgerloving hit man philosophical partner drugaddled gangsters moll washedup boxer converge sprawling comedic crime caper adventures unfurl three stories ingeniously trip back forth time
110,Three Colors: Red,Drama Mystery Romance,red third film trilogy kieślowski red meaning brotherliness kieślowski masterly tells strange coincidentally linked stories packed work
2164,Stargate,Action Adventure Science Fiction,interstellar teleportation device found egypt leads planet humans resembling ancient egyptians worship god
278,The Shawshank Redemption,Drama Crime,framed double murder wife lover upstanding banker andy dufresne begins new life shawshank prison puts accounting skills work amoral warden during long stretch prison dufresne comes admired inmates including older prisoner named red integrity unquenchable sense hope
193,Star Trek: Generations,Science Fiction Action Adventure Thriller,captain jeanluc picard crew enterprised find themselves odds renegade scientist soran destroying entire star systems only one man help picard stop sorans schemeand hes dead seventyeight years
1587,What's Eating Gilbert Grape,Romance Drama,gilbert care brother arnie obese mother gets way love walks life
2064,While You Were Sleeping,Comedy Drama Romance,love story built misunderstanding transit worker pulls commuter peter off tracks hes mugged while hes coma family mistakenly thinks shes peters fiancée doesnt correct things get complicated falls brother whos quite sure shes claims
236,Muriel's Wedding,Drama Comedy Romance,muriels wedding hogans film debut humorous emancipation story unemployed woman evolves dreamer self sustaining successful woman amusing comedy thats funny silly angry serious
2759,"The Adventures of Priscilla, Queen of the Desert",Drama Comedy,two dragqueens transsexual contract perform drag show resort alice springs resort town remote australian desert head west sydney aboard lavender bus priscilla route discovered woman theyve contracted wife one drag queens bus breaks down repaired bob travels
888,The Flintstones,Fantasy Comedy Family,modern stone age family flintstones hit big screen liveaction version classic cartoon fred helps barney adopt child barney sees opportunity repay slate mining tests employees find new executive good deed goes unpunished
13,Forrest Gump,Comedy Drama Romance,man low accomplished great things life present during significant historic events case far exceeding anyone imagined yet despite things attained one true love eludes forrest gump story man rose above challenges proved determination courage love important ability
1689,Little Buddha,Drama History,little buddha movie life siddhartha starring keanu reeves bridget fonda directed bernardo bertolucci
2788,Reality Bites,Drama,small circle friends suffering postcollegiate blues confront hard truth life love pursuit gainful employment struggle map out survival guides future genx quartet soon begins realize reality isnt cracked
8987,The River Wild,Action Adventure Crime Thriller,while family vacation rafting expert gail takes pair armed killers while navigating spectacularly violent river
315,"Faster, Pussycat! Kill! Kill!",Action Crime,three strippers seeking thrills encounter young couple desert dispatching boyfriend take girl hostage begin scheming crippled old man living two sons desert reputedly hiding tidy sum cash become house guests old man try seduce sons attempt locate money realizing old man sinister intentions own
8011,Highlander: The Final Dimension,Action Fantasy Science Fiction,starts off century connor mcleod christopher lambert training another immortal swordsman japanese sorcerer nakano mako evil immortal named kane mario van peebles kills old wizard resulting battle leaves buried underground cave kane resurfaces century create havoc mcleod stop
2654,In the Mouth of Madness,Horror Mystery Thriller,disappearance hack horror writer sutter cane hell breaking looseliterally author cane seems knack description really brings evil creepycrawlies life insurance investigator john trent sent investigate canes mysterious vanishing act ends sleepy little east coast town hobbs end
306,Beverly Hills Cop III,Action Comedy Crime,back sunny southern california trail two murderers axel foley teams cop billy rosewood soon discover amusement park used front massive counterfeiting ring run same gang shot billys boss
178,Blown Away,Drama Action Thriller,blown away tells story jimmy dove works boston bomb squad shortly dove leaves force partner killed bomb dove thinks made someone knows
4722,Body Snatchers,Horror Science Fiction Thriller,environmental protection agency inspector steve malone travels remote military base order check toxic materials brings family along ride arriving base teenage daughter marti befriends jean platt daughter bases commander general platt people base begin acting strangely marti becomes convinced slowly replaced plantlike aliens
26391,Cabin Boy,Comedy,foulmouthed finishing school graduate mistakenly winds illfated fishing boat faces wrath crew considers bad luck
2124,Color of Night,Drama Mystery Romance Thriller,new york psychiatrist bill capa visits los angeles take murdered colleagues therapy group finds himself embroiled thick mystery bumps rose begins torrid affair
2087,The Getaway,Drama Action Thriller,doc mccoy put prison because partners chickened out flew off without exchanging prisoner lot money doc knows jack benyon rich businessman something big tells wife carol mccoy tell hes sale benyon get out prison benyon pulls strings doc mccoy released unfortunately cooperate same person got prison
2019,Hard Target,Action Adventure Crime Thriller,womans father goes missing enlist local aid search pair soon discover father died hands wealthy sportsman hunts homeless men form recreation
2259,The House of the Spirits,Romance Drama,rancher clairvoyant wife family face turbulent years south america
